Cell Name,SITE,LTE_Band,CoSite-Band,cellId,earfcndl,PCI,RachRootSequence,Tac,Latitude,Longitude,Azimuth,Height,Mech. Tilt,LTE Etilt
191004M,191004L,L18,L18,1,1680,15,410,19402,36.20234,5.43678,20,27,4,2
191004N,191004L,L18,L18,2,1680,16,390,19402,36.20234,5.43678,120,27,5,2
191004O,191004L,L18,L18,3,1680,17,400,19402,36.20234,5.43678,230,27,4,2
191005M,191005L,L18,L18+L21,1,1680,186,700,19402,36.188487,5.43664,40,10,,3
191005N,191005L,L18,L18+L21,2,1680,187,710,19402,36.188487,5.43664,140,10,,3
191005O,191005L,L18,L18+L21,3,1680,188,720,19402,36.188487,5.43664,195,10,,3
191005R,191005L,L21,L18+L21,4,150,186,700,19402,36.188487,5.43664,40,10,,0
191005S,191005L,L21,L18+L21,5,150,187,710,19402,36.188487,5.43664,140,10,,0
191005T,191005L,L21,L18+L21,6,150,188,720,19402,36.188487,5.43664,195,10,,0
191007M,191007L,L18,L18+L21,1,1680,165,520,19402,36.19112,5.42955,0,15,0,3
191007N,191007L,L18,L18+L21,2,1680,166,500,19402,36.19112,5.42955,140,15,1,2
191007O,191007L,L18,L18+L21,3,1680,167,510,19402,36.19112,5.42955,240,15,1,2
191007R,191007L,L21,L18+L21,4,150,165,520,19402,36.19112,5.42955,0,15,,0
191007S,191007L,L21,L18+L21,5,150,166,500,19402,36.19112,5.42955,140,15,,0
191007T,191007L,L21,L18+L21,6,150,167,510,19402,36.19112,5.42955,240,15,,0
191009M,191009L,L18,L18+L21,1,1680,177,130,19402,36.19716,5.42234,10,21,1,2
191009N,191009L,L18,L18+L21,2,1680,178,140,19402,36.19716,5.42234,120,21,0,2
191009O,191009L,L18,L18+L21,3,1680,179,150,19402,36.19716,5.42234,260,21,1,2
191009R,191009L,L21,L18+L21,4,150,177,130,19402,36.19716,5.42234,10,21,,0
191009S,191009L,L21,L18+L21,5,150,178,140,19402,36.19716,5.42234,120,21,,0
191009T,191009L,L21,L18+L21,6,150,179,150,19402,36.19716,5.42234,260,21,,0
191010M,191010L,L18,L18+L21,1,1680,189,190,19402,36.18813,5.422438,30,9,0,2
